Month of Observation,Median Home Price (NSA),Inflation Adjusted Price
4/1/17,"$234,044.77 ","$261,579.33 "
5/1/17,"$236,755.15 ","$264,830.84 "
6/1/17,"$238,437.13 ","$266,549.55 "
7/1/17,"$239,503.98 ","$267,674.23 "
8/1/17,"$240,234.44 ","$267,477.77 "
9/1/17,"$239,955.72 ","$265,708.88 "
10/1/17,"$239,965.33 ","$265,605.33 "
11/1/17,"$240,763.07 ","$265,711.61 "
12/1/17,"$240,455.50 ","$264,988.69 "
1/1/18,"$241,474.30 ","$265,057.56 "
2/1/18,"$244,117.41 ","$267,336.47 "
3/1/18,"$246,847.02 ","$270,090.61 "
4/1/18,"$249,028.78 ","$271,652.57 "
5/1/18,"$251,941.01 ","$274,269.37 "
6/1/18,"$253,574.93 ","$275,645.82 "
7/1/18,"$254,343.83 ","$276,269.34 "
8/1/18,"$254,785.95 ","$276,320.82 "
9/1/18,"$254,141.99 ","$275,132.80 "
10/1/18,"$253,920.93 ","$274,115.21 "
11/1/18,"$254,670.62 ","$275,008.24 "
12/1/18,"$253,853.66 ","$274,483.23 "
1/1/19,"$254,497.61 ","$275,236.20 "
2/1/19,"$256,371.82 ","$276,684.42 "
3/1/19,"$259,139.87 ","$278,375.48 "
4/1/19,"$262,128.98 ","$280,286.22 "
5/1/19,"$264,839.37 ","$283,134.45 "
6/1/19,"$265,944.67 ","$284,258.22 "
7/1/19,"$267,030.75 ","$284,859.23 "
8/1/19,"$267,001.91 ","$284,613.84 "
9/1/19,"$267,722.76 ","$284,921.67 "
10/1/19,"$267,780.43 ","$284,036.38 "
11/1/19,"$268,184.10 ","$283,800.78 "
12/1/19,"$268,818.45 ","$284,236.29 "
1/1/20,"$269,702.69 ","$284,637.69 "
2/1/20,"$272,960.92 ","$287,923.87 "
3/1/20,"$275,536.75 ","$291,581.57 "
4/1/20,"$277,747.35 ","$295,982.54 "
5/1/20,"$278,670.03 ","$297,255.87 "
6/1/20,"$282,149.32 ","$299,399.69 "
7/1/20,"$285,397.94 ","$301,298.75 "
8/1/20,"$289,377.02 ","$304,431.79 "
9/1/20,"$293,058.15 ","$307,548.33 "
10/1/20,"$296,095.32 ","$310,362.26 "
11/1/20,"$298,382.81 ","$312,202.60 "
12/1/20,"$300,401.18 ","$313,553.78 "
1/1/21,"$303,034.68 ","$315,493.22 "
2/1/21,"$307,436.65 ","$318,945.04 "
3/1/21,"$314,587.46 ","$324,352.05 "
4/1/21,"$322,093.89 ","$329,553.79 "
5/1/21,"$329,465.75 ","$334,938.63 "
6/1/21,"$335,520.87 ","$338,035.60 "
7/1/21,"$340,278.47 ","$341,212.07 "
8/1/21,"$342,844.68 ","$342,844.68 "
